lag_month,coef_bi_rate,p_value,r_squared
1,0.06898594682034201,0.5459101731419983,0.0031800092683011982
2,-0.020762569705762138,0.8564282408980328,0.0002883523118583087
3,-0.1081972162814365,0.34652753999536906,0.007845692535626836
4,-0.18621979087320803,0.1053175580408028,0.023250683956290374
