bi_rate,inflation,horizon
-0.0020454423758447474,0.08673880797752377,1
0.005835599785590029,-0.044029053552105214,2
0.007799201259657204,0.05184846050454632,3
0.0027502302902974235,0.03311108943320842,4
0.004641992238037575,-0.015480187710861562,5
0.004230357598009785,0.009688835065457844,6
0.0020038398131707567,0.009805888859902452,7
0.001724266328866544,-0.006767632164507311,8
0.0013303531636654033,-0.0005472485536016781,9
0.0002977301962453867,0.0013997295619565253,10
-8.775734439835927e-05,-0.0037307910317703414,11
-0.0003423231983025067,-0.002307900996313711,12
